behavior,entry_rule,hold_days,initial_stop_pct,lookback,rationale,risk_tier,size_multiplier,target_pct,ticker,version,volume_filter
trend_following,trend_pullback_resume,15,3.5,10,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: استخدام pullback أقصر داخل الترند أو السماح بالدخول عند اختراق متوسط 20.,medium,0.75,4.5,MSFT,v2_refined,0.9
breakout,close_above_prior_high,10,6.39,55,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.,medium,0.75,7.81,NVDA,v1_kept,1.05
breakout,close_above_prior_high,10,4.12,20,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.,medium,0.75,5.04,GOOGL,v1_kept,1.05
pullback_recovery,five_day_drop_recovery,8,3.45,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.,medium,0.75,4.14,AMZN,v1_kept,0.85
trend_following,trend_pullback_resume,15,7.28,20,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: لم يظهر نمط واضح، لذلك خفضنا الحجم بدل توسيع المخاطرة.,high,0.25,10.27,TSLA,,0.9
trend_following,five_day_drop_recovery,15,3.71,5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: تحويل التصميم إلى ارتداد بعد هبوط لأن الارتداد أنجح من الاختراق تاريخيًا.,medium,0.75,4.94,META,v2_refined,0.9
breakout,close_above_prior_high,10,6.39,55,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.,medium,0.75,7.81,AVGO,v1_kept,1.05
pullback_recovery,five_day_drop_recovery,8,4.8,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,medium,0.75,4.81,LLY,v2_refined,0.85
trend_following,trend_pullback_resume,15,3.5,20,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: تقليل الهدف وزيادة الاعتماد على الوقف المتحرك لجني أرباح أسرع.,low,1.0,3.75,COST,v2_refined,0.9
mixed_or_choppy,reduced_size_breakout_only,7,3.16,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.31,CRM,v2_refined,1.15
mixed_or_choppy,reduced_size_breakout_only,7,2.96,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.11,ADBE,v2_refined,1.15
trend_following,trend_pullback_resume,15,6.75,10,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: استخدام pullback أقصر داخل الترند أو السماح بالدخول عند اختراق متوسط 20.,high,0.5,8.58,AMD,v2_refined,0.9
mixed_or_choppy,reduced_size_breakout_only,7,2.71,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,medium,0.75,3.0,TMO,v2_refined,1.15
mixed_or_choppy,reduced_size_breakout_only,7,3.42,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.59,NOW,v2_refined,1.15
mixed_or_choppy,reduced_size_breakout_only,7,3.01,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.16,INTU,v2_refined,1.15
pullback_recovery,five_day_drop_recovery,8,3.0,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: تحويل التصميم إلى ارتداد بعد هبوط لأن الارتداد أنجح من الاختراق تاريخيًا.,medium,0.75,3.38,ISRG,v2_refined,0.85
mixed_or_choppy,reduced_size_breakout_only,7,3.65,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,medium,0.75,3.83,SNPS,v2_refined,1.15
pullback_recovery,five_day_drop_recovery,8,5.32,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,medium,0.75,5.31,PANW,v2_refined,0.85
pullback_recovery,five_day_drop_recovery,8,5.32,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.,high,0.5,6.39,ANET,v1_kept,0.85
breakout,close_above_prior_high,10,5.72,20,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.,medium,0.75,7.0,KLAC,v1_kept,1.05
breakout,close_above_prior_high,10,6.16,20,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.,high,0.5,7.52,LRCX,v1_kept,1.05
pullback_recovery,five_day_drop_recovery,8,5.0,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,medium,0.75,5.0,CDNS,v2_refined,0.85
pullback_recovery,five_day_drop_recovery,8,3.56,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: تحويل التصميم إلى ارتداد بعد هبوط لأن الارتداد أنجح من الاختراق تاريخيًا.,medium,0.75,4.02,FTNT,v2_refined,0.85
pullback_recovery,five_day_drop_recovery,8,7.68,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,high,0.5,7.69,MRVL,v2_refined,0.85
breakout,close_above_prior_high,10,8.56,20,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,high,0.5,8.71,TEAM,v2_refined,1.05
trend_following,trend_pullback_resume,15,6.0,10,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: استخدام pullback أقصر داخل الترند أو السماح بالدخول عند اختراق متوسط 20.,high,0.5,7.62,DDOG,v2_refined,0.9
mixed_or_choppy,reduced_size_breakout_only,7,4.58,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,4.81,TTD,v2_refined,1.15
mixed_or_choppy,reduced_size_breakout_only,7,4.6,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,4.82,HUBS,v2_refined,1.15
mixed_or_choppy,reduced_size_breakout_only,7,4.07,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,4.28,ZS,v2_refined,1.15
breakout,close_above_prior_high,10,7.34,20,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط. تعديل v2: لم يظهر نمط واضح، لذلك خفضنا الحجم بدل توسيع المخاطرة.,high,0.25,8.98,NET,,1.05
pullback_recovery,five_day_drop_recovery,8,5.59,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.,medium,0.75,6.71,CRWD,v1_kept,0.85
mixed_or_choppy,reduced_size_breakout_only,7,4.37,100,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: لم يظهر نمط واضح، لذلك خفضنا الحجم بدل توسيع المخاطرة.,high,0.25,5.1,SNOW,,1.15
mixed_or_choppy,reduced_size_breakout_only,7,3.35,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.52,WDAY,v2_refined,1.15
mixed_or_choppy,reduced_size_breakout_only,7,2.86,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.0,NKE,v2_refined,1.15
breakout,close_above_prior_high,10,5.05,55,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,medium,0.75,5.15,CAT,v2_refined,1.05
pullback_recovery,five_day_drop_recovery,8,3.0,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,low,1.0,3.6,HON,v2_refined,0.85
pullback_recovery,five_day_drop_recovery,8,3.0,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,low,1.0,3.6,LIN,v2_refined,0.85
mixed_or_choppy,reduced_size_breakout_only,7,3.1,50,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى. تعديل v2: توسيع شروط الدخول قليلًا مع بقاء فلتر الترند.,high,0.5,3.25,REGN,v2_refined,1.15
pullback_recovery,five_day_drop_recovery,8,3.41,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.,medium,0.75,4.09,VRTX,v1_kept,0.85
pullback_recovery,five_day_drop_recovery,8,4.0,5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.,medium,0.75,4.81,ABNB,v1_kept,0.85
trend_following,trend_pullback_resume,15,8.08,20,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: استخدام وقف أوسع قليلًا مع فلتر حجم/ترند أقوى، أو تقليل حجم الصفقة.,high,0.5,9.5,SHOP,v2_refined,0.9
trend_following,five_day_drop_recovery,15,4.9,5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة. تعديل v2: تحويل التصميم إلى ارتداد بعد هبوط لأن الارتداد أنجح من الاختراق تاريخيًا.,high,0.5,6.51,SPOT,v2_refined,0.9
