ticker,behavior,entry_rule,lookback,hold_days,target_pct,initial_stop_pct,volume_filter,risk_tier,size_multiplier,rationale
MSFT,trend_following,trend_pullback_resume,20,15,5.0,3.5,0.9,medium,0.75,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
NVDA,breakout,close_above_prior_high,55,10,7.81,6.39,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
GOOGL,breakout,close_above_prior_high,20,10,5.04,4.12,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
AMZN,pullback_recovery,five_day_drop_recovery,5,8,4.14,3.45,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
TSLA,trend_following,trend_pullback_resume,20,15,10.27,7.28,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
META,trend_following,trend_pullback_resume,20,15,6.17,4.37,0.9,medium,0.75,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
AVGO,breakout,close_above_prior_high,55,10,7.81,6.39,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
LLY,pullback_recovery,five_day_drop_recovery,5,8,4.81,4.0,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
COST,trend_following,trend_pullback_resume,20,15,5.0,3.5,0.9,low,1.0,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
CRM,mixed_or_choppy,reduced_size_breakout_only,100,7,3.68,3.16,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
ADBE,mixed_or_choppy,reduced_size_breakout_only,100,7,3.46,2.96,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
AMD,trend_following,trend_pullback_resume,20,15,9.53,6.75,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
TMO,mixed_or_choppy,reduced_size_breakout_only,100,7,3.16,2.71,1.15,medium,0.75,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
NOW,mixed_or_choppy,reduced_size_breakout_only,100,7,3.99,3.42,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
