behavior,drop_pct,entry_rule,hold_days,initial_stop_pct,lookback,ma_period,market_filter,max_extension20,rationale,risk_tier,rsi_cross_above,rsi_period,selected_version,size_multiplier,stop_model,strategy_id,strategy_source,target_pct,ticker,timeframe,v1_params,v1_rule_total_return,v1_rule_win_rate,v1_strategy,v3_quality_score,v3_reason,verification_avg_return,verification_total_return,verification_trades,verification_win_rate,version,volume_filter
v1_success_swing,,v1_rsi_recovery,10,99,21,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,35.0,21,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,NVDA_swing_rsi_21_35,V2,5.0,NVDA,swing,period=21;cross_above=35,101.5,87.5,RSI recovery,,,1.3,12.4,10,70.0,v3_v1_success_based,1.0
v1_success_monthly,,v1_breakout,21,99,100,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,,,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,NVDA_monthly_breakout_100,V2,10.0,NVDA,monthly,lookback=100,127.68,77.78,Breakout,,,1.3,12.4,10,70.0,v3_v1_success_based,1.0
v1_success_swing,,v1_rsi_recovery,10,99,7,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,30.0,7,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,AVGO_swing_rsi_7_30,V2,5.0,AVGO,swing,period=7;cross_above=30,278.53,78.57,RSI recovery,,,3.33,28.27,8,75.0,v3_v1_success_based,1.0
v1_success_monthly,,v1_rsi_recovery,21,99,14,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,30.0,14,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,AVGO_monthly_rsi_14_30,V2,10.0,AVGO,monthly,period=14;cross_above=30,191.39,66.67,RSI recovery,,,3.33,28.27,8,75.0,v3_v1_success_based,1.0
v1_success_swing,,v1_breakout,10,99,20,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,,,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,AMD_swing_breakout_20,V2,5.0,AMD,swing,lookback=20,136.94,68.18,Breakout,,,-0.24,-2.72,5,40.0,v3_v1_success_based,1.0
v1_success_swing,,v1_rsi_recovery,10,99,14,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,30.0,14,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,ANET_swing_rsi_14_30,V2,5.0,ANET,swing,period=14;cross_above=30,133.26,90.0,RSI recovery,,,1.55,35.75,22,59.09,v3_v1_success_based,1.0
v1_success_monthly,,v1_rsi_recovery,21,99,21,,,,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,45.0,21,v31_from_v2:v2_from_v1_success,1.0,v1_atr_support,ANET_monthly_rsi_21_45,V2,10.0,ANET,monthly,period=21;cross_above=45,302.38,86.67,RSI recovery,,,1.55,35.75,22,59.09,v3_v1_success_based,1.0
raw_trend_resume_swing,1.5,raw_trend_resume,13,99,8,,soft_market,,,,,,v31_from_v3:v3_raw_rebuild,1.0,atr_support,LRCX_swing_raw_trend_8_1.5_4_13_soft_market,V3,4,LRCX,swing,,,,,98.45,نقاط الجودة 98.45؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,0.8
raw_pullback_monthly,5,raw_pullback_reversal,25,99,3,,none,,,,,,v31_from_v3:v3_raw_rebuild,1.0,atr_support,LRCX_monthly_raw_pullback_3_5_6_25_none,V3,6,LRCX,monthly,,,,,104.66,نقاط الجودة 104.66؛ فوز 100.00%؛ متوسط 3.45%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,0.75
raw_breakout_swing,,raw_breakout,8,99,20,,none,40,,,,,v31_from_v3:v3_raw_rebuild,1.0,atr_support,MRVL_swing_raw_breakout_20_4_8_40_none,V3,4,MRVL,swing,,,,,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,1.0
raw_pullback_monthly,3,raw_pullback_reversal,25,99,3,,none,,,,,,v31_from_v3:v3_raw_rebuild,1.0,atr_support,MRVL_monthly_raw_pullback_3_3_6_25_none,V3,6,MRVL,monthly,,,,,116.24,نقاط الجودة 116.24؛ فوز 100.00%؛ متوسط 4.33%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,0.75
raw_rsi_recovery_swing,,raw_rsi_recovery,5,99,10,,none,,,,30,10,v31_from_v3:v3_raw_rebuild,1.0,atr_support,PANW_swing_raw_rsi_10_30_4_5_none,V3,4,PANW,swing,,,,,97.5,نقاط الجودة 97.50؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,1.0
raw_rsi_recovery_monthly,,raw_rsi_recovery,10,99,10,,none,,,,30,10,v31_from_v3:v3_raw_rebuild,1.0,atr_support,PANW_monthly_raw_rsi_10_30_6_10_none,V3,6,PANW,monthly,,,,,97.5,نقاط الجودة 97.50؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,1.0
raw_pullback_swing,7,raw_pullback_reversal,10,99,8,,none,,,,,,v31_from_v3:v3_raw_rebuild,1.0,atr_support,SHOP_swing_raw_pullback_8_7_4_10_none,V3,4,SHOP,swing,,,,,95.21,نقاط الجودة 95.21؛ فوز 100.00%؛ متوسط 2.43%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,0.75
raw_pullback_monthly,7,raw_pullback_reversal,21,99,8,,none,,,,,,v31_from_v3:v3_raw_rebuild,1.0,atr_support,SHOP_monthly_raw_pullback_8_7_6_21_none,V3,6,SHOP,monthly,,,,,96.16,نقاط الجودة 96.16؛ فوز 100.00%؛ متوسط 2.80%؛ أسوأ 1.00%,,,,,v3_raw_rebuild,0.75
